date,open,high,low,close,volume
2024-11-14,16.9,17.51,15.21,16.63,3457336
2024-11-15,16.11,17.9,15.76,17.18,2850974
2024-11-18,18.91,18.91,17.91,18.26,2878847
2024-11-19,17.03,17.32,16.43,16.43,2676268
2024-11-20,16.21,17.23,16.21,17.06,2332130
2024-11-21,16.79,18.77,16.78,18.19,2127509
2024-11-22,17.96,19.05,17.59,17.89,2403543
2024-11-25,18.81,19.69,18.21,19.41,3075109
2024-11-26,18.67,19.05,18.22,18.28,1736973
2024-11-27,18.08,18.54,17.01,17.84,2192360
2024-11-28,17.69,17.81,16.85,17.34,1426293
2024-11-29,17.13,17.95,17.11,17.49,1128925
2024-12-02,16.86,19.25,16.84,18.91,2235837
2024-12-03,18.82,19.31,18.44,18.84,1585613
2024-12-04,18.61,19.27,17.66,17.76,1422252
2024-12-05,17.62,18.36,17.49,18.19,1011820
2024-12-06,18.11,18.31,17.62,17.67,797467
2024-12-09,17.74,18.67,17.74,17.98,935709
2024-12-10,18.36,18.81,17.83,17.88,1035712
2024-12-11,17.87,18.71,17.44,17.63,1260496
2024-12-12,17.73,17.76,17.09,17.33,1127933
2024-12-13,17.21,19.07,17.09,18.65,3107952
2024-12-16,18.28,18.75,18.06,18.14,1542668
2024-12-17,18.2,18.76,18.09,18.18,1248229
2024-12-18,18.55,19.34,18.27,18.89,1543211
2024-12-19,18.58,18.89,17.73,18.24,1257081
2024-12-20,18.11,18.46,17.91,18.1,753674
2024-12-23,18.07,18.53,17.79,18.04,806519
2024-12-24,18.04,18.71,17.84,18.53,848343
2024-12-25,18.52,19.31,18.45,18.76,1198248
2024-12-26,18.79,19.19,18.61,18.75,953761
2024-12-27,18.67,20.13,18.29,19.72,1723469
2024-12-30,19.72,21.21,19.32,20.95,1829090
2024-12-31,20.67,21.21,20.41,20.67,1218398
2025-01-02,20.41,20.48,18.72,18.94,1424807
2025-01-03,18.77,18.97,17.91,17.92,1080534
2025-01-06,17.81,18.52,17.65,17.78,782387
2025-01-07,17.86,18.52,17.72,18.5,624829
2025-01-08,18.21,18.29,16.9,17.8,1391894
2025-01-09,17.71,17.9,16.82,17.32,1341174
2025-01-10,17.29,18.09,17.29,17.54,1170287
2025-01-13,17.01,17.27,16.09,16.18,1351525
2025-01-14,16.19,17.29,16.11,16.96,1186059
2025-01-15,16.71,16.76,16.1,16.21,901678
2025-01-16,16.21,17.03,16.21,16.79,1096777
2025-01-17,16.68,16.82,16.43,16.71,612484
2025-01-20,16.79,17.37,16.79,17.0,732571
2025-01-21,17.11,17.23,16.73,16.82,496289
2025-01-22,16.58,16.63,16.04,16.18,733634
2025-01-23,16.36,16.64,16.17,16.18,612377
2025-01-24,16.17,16.98,16.11,16.85,911872
2025-01-27,17.22,17.8,17.02,17.07,748092
2025-02-05,17.21,17.21,16.84,16.96,619280
2025-02-06,16.91,16.93,16.44,16.89,732232
2025-02-07,17.01,18.35,16.96,17.96,1570985
2025-02-10,18.41,19.16,17.99,18.09,1103578
2025-02-11,18.11,19.7,17.54,18.92,1718536
2025-02-12,18.51,18.67,17.91,18.31,1347180
2025-02-13,18.31,18.86,18.12,18.44,1030029
2025-02-14,18.31,18.61,17.99,18.24,762017
2025-02-17,18.33,18.85,17.91,18.36,863175
2025-02-18,18.3,18.3,17.41,17.49,864106
2025-02-19,17.49,17.64,17.35,17.57,547142
2025-02-20,17.57,18.05,17.5,17.6,525472
2025-02-21,17.6,17.61,16.81,17.21,1081262
2025-02-24,17.5,17.91,17.25,17.29,1276853
